event_log_index,block_number,transaction_hash,asset_in,asset_out,from,to,amount_out,amount_in,protocol,metadata
95,21519316,0xe4bd9e7d19361d0ca82723a63bfd6f5ca8ff43e100b7b47c05b07bab297566e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x88909d489678dd17aa6d9609f89b0419bf78fd9a,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,7817820090359333158715,265948730065158144,UniswapV2,"{""tick"":-102654,""liquidity"":""1.697021130813413207376e+21"",""squareRootPriceX96"":""4.67637063088608788642213118e+26""}"
102,21519316,0xc53dfe34b56dc083c82d0fbd941ddb5cc2727def377a1ad55dd7df8c7ee59e67,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x88909d489678dd17aa6d9609f89b0419bf78fd9a,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,7817820090359333158715,265948730065158144,UniswapV2,"{""tick"":-102654,""liquidity"":""1.697021130813413207376e+21"",""squareRootPriceX96"":""4.67637063088608788642213118e+26""}"
118,21519316,0x5cdc6f3d68f95ea75238378d5eeb27571945a9c0d8ab883ced4da90df76d3690,0x88909d489678dd17aa6d9609f89b0419bf78fd9a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,266873114401439745,7817818804863334019513,UniswapV2,"{""tick"":-103096,""liquidity"":""1.697021130813413207376e+21"",""squareRootPriceX96"":""4.57410220961962548280169934e+26""}"
12,21519318,0xa342ecf28087cc11ed82cab34ebd3e2d1b4bbed1705574247969a2deb94a41c8,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,117343384065,35232753735077570034,UniswapV2,"{""tick"":-195244,""liquidity"":""602797185766082941"",""squareRootPriceX96"":""4.564855995190927747831436e+24""}"
36,21519318,0x209c82b576c4b86f65332baf31d5a162f4d1782ed57690f375295fb386740248,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,117343384065,35232753735077570034,UniswapV2,"{""tick"":-195244,""liquidity"":""602797185766082941"",""squareRootPriceX96"":""4.564855995190927747831436e+24""}"
121,21519318,0x74640a67bfbbad984d6446ac7e80d15ddaf2b92152bbcb56dec5f7f1359401c9,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,117343384065,35232753735077570034,UniswapV2,"{""tick"":-195244,""liquidity"":""602797185766082941"",""squareRootPriceX96"":""4.564855995190927747831436e+24""}"
53,21519318,0xfb57d00faac9c3f0f936fc811b75ce9c67ec83c5a6c296e428dd616e531bb07b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x553afe6468949e0685959022217336717df5fbe8,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,148752500657391021717,500591194112,UniswapV2,"{""tick"":-194975,""liquidity"":""659348895083761888"",""squareRootPriceX96"":""4.626684901047086051844982e+24""}"
22,21519318,0xa342ecf28087cc11ed82cab34ebd3e2d1b4bbed1705574247969a2deb94a41c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77777feddddffc19ff86db637967013e6c6a116c,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,773717588049995497472,2225387946658234368,UniswapV2,null
50,21519318,0x2afb45eb2490a93963da3b740d35fb139753c53a9ba0e55c57ca89545a3df5ad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77777feddddffc19ff86db637967013e6c6a116c,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,773717588049995497472,2225387946658234368,UniswapV2,null
57,21519318,0xfb57d00faac9c3f0f936fc811b75ce9c67ec83c5a6c296e428dd616e531bb07b,0x77777feddddffc19ff86db637967013e6c6a116c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,2227702869606268928,773717586950483869696,UniswapV2,null
