transaction_hash,block_number,arbitrager,protocols,profit_raw,cost_in_usd,profit_amount_in_usd,flash_loan_asset,flash_loan_amount,flash_loan_in_usd
0xc56567a01801b60bb13b5b1d9d5cd13b29987c6f11f6bdccf8e4f35dc5964790,21519409,0x12d737470fb3ec6c3deec9b518100bec9d520144,{},"[{""address"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""amount"":""16958355387915437""}]",5.218449204971884,-4.992685486339743,,,
0x09741adf3f97bc421238a5f7f812c06d547278be88b2c8a7189f04572c758b89,21519410,0x828ae1566824a9835acb6f565e1e9ea22bfb883a,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":7087048}]",7.156871975100415,-0.06650508288252777,,,
0xd5de992eeea4ab51305ede85e6619db348d2ef0183c5dda7b9b9704eff1472a2,21519410,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0x046eee2cc3188071c02bfc1745a6b17c656e3f3d"",""amount"":326688185606919}]",4.584335482108756,-4.5842963430112755,,,
0x9cd87d222da9bf69ae2c41b9f043afc52c041b957f797f3dec7d6bae0baf5221,21519410,0x9d6b911199b891c55a93e4bc635bf59e33d002d8,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""8474731746731443""}]",8.712780335956458,19.77326651678871,,,
0xf3225add5f4af19912c206980f5ef13be859b1ffd758d34955f48db5a1e1b5ef,21519411,0xfb576a0a49455ebd9c62979b30116efbfd60396e,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":8025714618}]",8.204234017736601,8021.268857438159,,,
0x990ab69e24d77f59042d02141a07d25c5b74a327c5bf9c61deca1f2e9335df44,21519412,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""4264593287282688""}]",14.007715265382338,0.32682744581208567,,,
0x25a17b078f458960ad3b74905df1d3c9d7443ecf2820882388fe9acadf0b6808,21519414,0x5b93d80da1a359340d1f339fb574bdc56763f995,{},"[{""address"":""0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18"",""amount"":""1.128485077693855092118e+21""}]",2.570940831279619,0.21207997822808666,,,
0xcdd39b0323161b0adbbd501c33441681a35465e9718b3caa1314cdfc219ec052,21519414,0xfcb51642a2a33eafefd79c236480e295ccbd4a44,{},"[{""address"":""0xb50721bcf8d664c30412cfbc6cf7a15145234ad1"",""amount"":""4689966856970049947""}]",2.973151158810421,0.4559656883769949,,,
0x51898245a995d5c89865290fc7e6634b0949305e15e0a3d73e68798d7bec2b09,21519414,0x80eabd6df366b62fbb970029363c3e52eff00953,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""1379724391360943""}]",4.635572715514984,0.002083652940758185,,,
0x8f3b5039d4b35495449be35d2f059831726d82234b73e9e2366e6fa9ea6912eb,21519414,0x3f272ce3e97eb989f0aad16b323d4217a9eb1d60,{},"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":3002640371}]",4.010068687081134,2994.1029004433067,,,
0x6f7d27a68886794ba7d25b8ad36a410e0c4bfbcdcbf5fd630a9bd9c446cd2391,21519416,0x12d737470fb3ec6c3deec9b518100bec9d520144,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""3135130991276347846""}]",2.622918051449833,10535.46736916452,,,
0x8d12976b5f1a3a345704bf5af9315e9093038f1206a858bd68a845034f2f6b86,21519416,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""41024614880509952""}]",126.89162724499657,11.0040768936923,,,
0x11d3294d6e109ba1f70c857da9b4fd56f9faba83c0a20d06b7eb457ed56bc4d0,21519416,0x36135e77f9bf618708bd449d7d6d9f3f10973d73,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""1757480847753766""}]",5.649614509979587,0.25779156115945145,,,
0x046710107b730a8eac4391fd43f81488ec62f877bbbcf6d3fc63b8a54b95056c,21519416,0x5babb148fedd51a3ba7f7473d490899c96a56e53,{},"[{""address"":""0xa35923162c49cf95e6bf26623385eb431ad920d3"",""amount"":""1.3191524849785179639e+23""}]",2.6562568854539648,1211.0049625963916,,,
0x6cd20612c4366bdc560f4296401eaff6fb5e74fe65c0f2864f284b12dbb01ffa,21519416,0xbae30f064b2e96644f900a9f6c7a5cdc11247344,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""1145019110584182""}]",3.7644371178868923,0.08430630033037989,,,
0xacd93ad676a928d12ee48a805a28319698e3ce9f8a4819454693aacf28fc7098,21519417,0x81463b0f960f247f704377661ec81c1fd65b5128,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":901551955855355}]",2.953711321074636,0.07666793129339977,,,
0xb68e42c5f6e8e2ac3cb488eeee067ca2c326fa782315150454cf61894ec4b9e2,21519417,0xefe9e1448854cd3289d56abe14ccf2598b60d07f,{},"[{""address"":""0xa9e8acf069c58aec8825542845fd754e41a9489a"",""amount"":""1.01957890903463835538e+21""}]",3.149495692840051,1863.9165276726437,,,
0x3b47cdf07255cd2468887f71b566e997b74a7a791bc9de4c096d231194b5c163,21519418,0x3087228a094767de2f2e40fe31b3aa354b1e9883,{},"[{""address"":""0x8236a87084f8b84306f72007f36f2618a5634494"",""amount"":578806}]",4.17929116253683,532.7777525334214,,,
0xc4cba026333d8b3b9f62017c9dbf9b0776a393fe4a0c9b906d6f7f91804ce0e1,21519419,0x1109297e392d92c1613fdbdf30579a0215c20da9,{},"[{""address"":""0x9d39a5de30e57443bff2a8307a4256c8797a3497"",""amount"":""1.693098256004845360138823e+24""}]",4.795092780999525,1926122.5072365091,,,
0x6e31a864af37927c5208f4d621fb3268001fd9e22ebead6131b7d2cbb26c65f9,21519420,0xd6bd343e5d07fd38523b3a899888a3c6869994c8,{},"[{""address"":""0x71297312753ea7a2570a5a3278ed70d9a75f4f44"",""amount"":""2471425900775718""}]",3.1940958746046615,1185.4762510623489,,,
0x790e2d7495df5bb30ea9816e61f502c7509f4f605082e1ac93a65ef8afcfe7cf,21519422,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0x2b591e99afe9f32eaa6214f7b7629768c40eeb39"",""amount"":34066358007434}]",6.091170992873396,1085.7980808459718,,,
0xb37f7fc34cdfee225c60f8d455d2df6187b3eb8c466ec5db9d080c828466973e,21519422,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,{},"[{""address"":""0xf576e1f09e2eb4992d5ffdf68bec4ea489fa417d"",""amount"":""19729457386531462801""}]",0,0,,,
0x4c5b0c9fd538856e1bd406d922bcb5eab8557abc131dec38755ca8cf18dcabda,21519423,0x0000e0ca771e21bd00057f54a68c30d400000000,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""2011137741769674""}]",6.7379654616052935,0.022055463124337038,,,
0x94d0ebcaa03053d71a4dc88ce8565b9543eb9895b30878f27302611a2c453a5f,21519423,0x91f2a2c6a54fd5cb2eda3e43fbe3ae8f6c71f734,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":1976069}]",3.058488072590007,-1.081493671770638,,,
0xe0d86f5110fa7cdb83c6a20ad2493a2f8abd5899781242363fc4db9fd8273ff3,21519424,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""68952783948835957""}]",5.763652032806153,226.00677951522613,,,
0x493773122956a5560ef31c82dfe39df3b9f14293a63588798ace98b276536773,21519424,0x1f2f10d1c40777ae1da742455c65828ff36df387,"{BalancerV1,BalancerV2,BalancerV2}","[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""2243632560878299""}]",7.427876734979736,0.11362713317204154,,,
0xddf4e48321008f1b71b6430464742bcbdfc0b7ab7b4bd2af33a00d011e852753,21519425,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0x5200b34e6a519f289f5258de4554ebd3db12e822"",""amount"":""202376887010741168""}]",2.2944416685818894,970.3895903711435,,,
0x5ab0b1faacd7e0410e5a543a78b31adce553042d45fff9415766e51ffd57c6bf,21519425,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""351656152083202049""}]",83.3906235845185,1098.6283386276687,,,
0x4359ffb9122968dfad22bbc48cae655faa000698cf1b22d5c3a40c6d0ebc0e59,21519425,0x8793c6aa63cc96c955da4906f628dc09cd595dc8,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""1238087464166158""}]",3.1034410771665186,1.0581322405536522,,,
0x056772976844b4aa524e9dc645116bbbaad0b58a62ba600a585a4f6145be1f9f,21519425,0x00000047bb99ea4d791bb749d970de71ee0b1a34,{},"[{""address"":""0x2077d81d0c5258230d5a195233941547cb5f0989"",""amount"":60000000000000}]",3.6076749933137333,-2.2519629933137333,,,
0xdfdc05f35178fcc6ac13dde7cf87b2b8f72d896ffa2357a8931cce1711f2fc4d,21519425,0xc676ae150f366aa06c75d9c5299d3c535f5a46a3,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":352243939}]",2.3902218428041557,350.0186743675809,,,
