transaction_hash,block_number,sandwich_id,transaction_log_index,type,sandwicher,victim,profit_raw,profit_amount_in_usd,cost_in_usd,protocols
0xf69945ca37c561ebe9781ef85f7c025fb5f683ed3b27e20554dff2217fa6ee4e,21519251,0x873652230d7757582f2dfb48f8ac15088be4c28edbcc58d9793e0793da890760,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0x009c1be34e50826f537f969e2a6f5236494e73da"",""amount"":""8413448536653824"",""additionalAmount"":-77522605506560}]",0,46.10670118683425,{UniswapV2}
0x88d99211aeccb7e77b0f8eb8eab36b27d5f7526188006c765a8668c59e3b1dad,21519251,0x873652230d7757582f2dfb48f8ac15088be4c28edbcc58d9793e0793da890760,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0x009c1be34e50826f537f969e2a6f5236494e73da"",""amount"":""8413448536653824"",""additionalAmount"":-77522605506560}]",0,46.10670118683425,{UniswapV2}
0xa31b51ce4e7ca353b6d32eebc3061e8b9777e517ccfb02617ba6f5624e589e14,21519251,0x873652230d7757582f2dfb48f8ac15088be4c28edbcc58d9793e0793da890760,5,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0x009c1be34e50826f537f969e2a6f5236494e73da"",""amount"":""8413448536653824"",""additionalAmount"":-77522605506560}]",0,46.10670118683425,{UniswapV2}
0x542d426522062b4e8eddb98113ad6ea734355b4f8ad53974879b2242edac1a2c,21519251,0x5ca95649fe81bad988ea1facde4d6f823fd78cc1263a6dfaf3ee5cb7ba9a847f,3,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0x009c1be34e50826f537f969e2a6f5236494e73da"",""amount"":""8413448536653824"",""additionalAmount"":-77522605506560}]",0,46.10670118683425,{UniswapV2}
0xe40f4d3bbde3b3a7cac58112822678a1c0b041b779f2455db7d9f7a0901c16fa,21519256,0x3a3b17719d33cc193b32221e57ab46bf04fc88fcff3d0dcc2dd76ba4054db94b,6,front,0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""4253241522898304672"",""additionalAmount"":""-11189512608835359004""}]",14296.38611795009,155.79244114023854,{UniswapV3}
0x0ca74773231177b6c4c457ab147eb6d9334206879e761f2f3c58dc5b78136ec3,21519256,0x3a3b17719d33cc193b32221e57ab46bf04fc88fcff3d0dcc2dd76ba4054db94b,7,victim,0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""4253241522898304672"",""additionalAmount"":""-11189512608835359004""}]",14296.38611795009,155.79244114023854,{UniswapV3}
0x469aeafa7bf3cc1553ce91bbc91df2007770ea62b2da921d12dbae6ac84e2e81,21519256,0x3a3b17719d33cc193b32221e57ab46bf04fc88fcff3d0dcc2dd76ba4054db94b,8,back,0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""4253241522898304672"",""additionalAmount"":""-11189512608835359004""}]",14296.38611795009,155.79244114023854,{UniswapV3}
0xba9b3edb3f1710ad2ce9086e4bd9adbef1473e6d8a4a3c0ddd1f68454cb506cb,21519259,0x2991f8bfe2326eb7c6b01cefcf424bb851feaef08f7b05bb09e03b2f7634cec1,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""51505118278348669"",""additionalAmount"":""-292765774851144497""}]",173.12373491928955,27.911823581542293,{UniswapV3}
0x77c26e4e35994dc1741cf43a85c3dfcd760c9498735bcae2a589e012fde6c957,21519259,0x2991f8bfe2326eb7c6b01cefcf424bb851feaef08f7b05bb09e03b2f7634cec1,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""51505118278348669"",""additionalAmount"":""-292765774851144497""}]",173.12373491928955,27.911823581542293,{UniswapV3}
0xbc2510ae460ea0242906dba32b9485c897bb6dbd33581d77e7e63dca3cba627f,21519259,0x2991f8bfe2326eb7c6b01cefcf424bb851feaef08f7b05bb09e03b2f7634cec1,2,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""51505118278348669"",""additionalAmount"":""-292765774851144497""}]",173.12373491928955,27.911823581542293,{UniswapV3}
